 
-- ======================================================================
--                     Simulation tb_05 start                               
-- ======================================================================
---- Initial simulation
// ================================================================
// File Name    : log.txt                                          
// Test Pattern : tb_05                                     
// ================================================================
---- clock ---- 1111 ---- enable
---- Wait for  64 cycles end
---- Wait for  64 cycles end
---- LBUS BRAM write   ADD :0x00010000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00020000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00040000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00080000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00100000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00200000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00400000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00800000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM read   ADD :0x00010000    SIZE :0x100
---- [Error      ]Read bram ADD :0x04003d  EDAT :0x0000003d  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04003e  EDAT :0x0000003e  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x04003f  EDAT :0x0000003f  RDAT :0xffffffff
---- [Error      ]LBUS BRAM   ADD :0x00040000    SIZE :0x100 faild read end
---- LBUS BRAM read   ADD :0x00080000    SIZE :0x100
---- [Error      ]Read bram ADD :0x080000  EDAT :0x00000000  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080001  EDAT :0x00000001  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080002  EDAT :0x00000002  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080003  EDAT :0x00000003  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080004  EDAT :0x00000004  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080005  EDAT :0x00000005  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080006  EDAT :0x00000006  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080007  EDAT :0x00000007  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080008  EDAT :0x00000008  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080009  EDAT :0x00000009  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x08000a  EDAT :0x0000000a  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x08000b  EDAT :0x0000000b  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x08000c  EDAT :0x0000000c  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x08000d  EDAT :0x0000000d  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x08000e  EDAT :0x0000000e  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x08000f  EDAT :0x0000000f  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080010  EDAT :0x00000010  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080011  EDAT :0x00000011  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080012  EDAT :0x00000012  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080013  EDAT :0x00000013  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080014  EDAT :0x00000014  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080015  EDAT :0x00000015  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080016  EDAT :0x00000016  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080017  EDAT :0x00000017  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080018  EDAT :0x00000018  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080019  EDAT :0x00000019  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x08001a  EDAT :0x0000001a  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x08001b  EDAT :0x0000001b  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x08001c  EDAT :0x0000001c  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x08001d  EDAT :0x0000001d  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x08001e  EDAT :0x0000001e  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x08001f  EDAT :0x0000001f  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080020  EDAT :0x00000020  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080021  EDAT :0x00000021  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080022  EDAT :0x00000022  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080023  EDAT :0x00000023  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080024  EDAT :0x00000024  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080025  EDAT :0x00000025  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080026  EDAT :0x00000026  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080027  EDAT :0x00000027  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080028  EDAT :0x00000028  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x080029  EDAT :0x00000029  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x08002a  EDAT :0x0000002a  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x08002b  EDAT :0x0000002b  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x08002c  EDAT :0x0000002c  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x08002d  EDAT :0x0000002d  RDAT :0xffffffff
